"ACH_DATE","ORG_TYPE","ORG_CODE","ONS_CODE","AREA_NAME","DEMENTIA_REGISTER_65_PLUS","DEMENTIA_ESTIMATE_65_PLUS","DIAG_RATE_65_PLUS","DIAG_RATE_65_PLUS_LL","DIAG_RATE_65_PLUS_UL","PAT_LIST_65_PLUS","Prevalence_65_PLUS_percent","Prevalence_65_PLUS_percent_LCI","Prevalence_65_PLUS_percent_UCI","ASS_Received_GP_Mem_Clinic","ASS_Received_GP","MemoryClinicPercent","MemoryClinicPercent_LCI","MemoryClinicPercent_UCI","DEM_REGISTER_WITH_ANTIPSYMEDS_ALL_AGES","DEMENTIA_REGISTER_ALL_AGES","AP_Percent","AP_Percent_LCI","AP_Percent_UCI","DIAG_Received_Care_Plan","CarePlansPercent","CarePlansPercent_LCI","CarePlansPercent_UCI"
2023-04-30,"ICB","QKK","E54000030","NHS SOUTH EAST LONDON INTEGRATED CARE BOARD",10250,14894.6,68.8,61.8,74.7,239252,4.3,4.2,4.4,53,565,9.4,7.2,12.1,885,10635,8.3,7.8,8.9,7848,73.8,72.9,74.6
2023-04-30,"ICB","QKS","E54000032","NHS KENT AND MEDWAY INTEGRATED CARE BOARD",14474,24739.1,58.5,52.6,63.5,384662,3.8,3.7,3.8,28,476,5.9,4.1,8.4,1268,14966,8.5,8,8.9,10652,71.2,70.4,71.9
2023-04-30,"ICB","QM7","E54000025","NHS HERTFORDSHIRE AND WEST ESSEX INTEGRATED CARE BOARD",11535,18350.5,62.9,56.6,68.2,272661,4.2,4.2,4.3,33,467,7.1,5.1,9.8,1104,11864,9.3,8.8,9.8,8339,70.3,69.5,71.1
2023-04-30,"ICB","QMF","E54000029","NHS NORTH EAST LONDON INTEGRATED CARE BOARD",7786,13081.7,59.5,53.3,64.7,219403,3.5,3.5,3.6,39,594,6.6,4.8,8.8,736,8149,9,8.4,9.7,6246,76.6,75.7,77.6
2023-04-30,"ICB","QMJ","E54000028","NHS NORTH CENTRAL LONDON INTEGRATED CARE BOARD",7437,11221.3,66.3,59.5,72,180736,4.1,4,4.2,18,191,9.4,6,14.4,558,7669,7.3,6.7,7.9,5689,74.2,73.2,75.1
2023-04-30,"ICB","QMM","E54000022","NHS NORFOLK AND WAVENEY INTEGRATED CARE BOARD",10332,17513.7,59,53.1,64,264649,3.9,3.8,4,29,424,6.8,4.8,9.7,1265,10665,11.9,11.3,12.5,6869,64.4,63.5,65.3
2023-04-30,"ICB","QNC","E54000010","NHS STAFFORDSHIRE AND STOKE-ON-TRENT INTEGRATED CARE BOARD",10902,15526.9,70.2,63.1,76.3,244412,4.5,4.4,4.5,65,635,10.2,8.1,12.8,986,11211,8.8,8.3,9.3,8174,72.9,72.1,73.7
2023-04-30,"ICB","QNQ","E54000034","NHS FRIMLEY INTEGRATED CARE BOARD",5670,8589,66,59.3,71.8,131554,4.3,4.2,4.4,21,202,10.4,6.9,15.4,472,5807,8.1,7.5,8.9,4203,72.4,71.2,73.5
2023-04-30,"ICB","QNX","E54000053","NHS SUSSEX INTEGRATED CARE BOARD",17049,27194.9,62.7,56.5,68.1,400163,4.3,4.2,4.3,75,719,10.4,8.4,12.9,1439,17500,8.2,7.8,8.6,12327,70.4,69.8,71.1
2023-04-30,"ICB","QOC","E54000011","NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",4411,7572.8,58.2,52.2,63.4,118425,3.7,3.6,3.8,11,103,10.7,6.1,18.1,385,4541,8.5,7.7,9.3,3209,70.7,69.3,72
