practice_code_dem,practice_code_gp,practice_name,postcode,pcn_ods_code,pcn_name,sub_icb_ods_code,icb_code,icb_name,supplier,latitude,longitude
G83001,G83001,MANOR BROOK PMS,SE3 0EN,U00254,BLACKHEATH AND CHARLTON PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4691732,0.0251536
G83002,G83002,THE WESTWOOD SURGERY,DA16 2HE,U88820,CLOCKTOWER PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.46318,0.0973
G83004,G83004,BARNARD MEDICAL GROUP,DA14 4TA,U50197,FROGNAL PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4280302,0.1055923
G83006,G83006,THE ALBION SURGERY,DA6 7LP,U07140,APL BEXLEY PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.45398,0.1474
G83009,G83009,BELLEGROVE SURGERY,DA16 3RE,U88820,CLOCKTOWER PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.464615,0.0957626
G83010,G83010,NORTHUMBERLAND HEATH MED.CTR.,DA8 3DB,U67110,NORTH BEXLEY PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.47693,0.166
G83012,G83012,GALLIONS REACH HEALTH CENTRE,SE28 8BE,U11690,RIVERVIEW HEALTH PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.5056746,0.1094505
G83013,G83013,BLACKHEATH STANDARD PMS,SE3 7HB,U00254,BLACKHEATH AND CHARLTON PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4781436,0.0198736
G83015,G83015,ELTHAM PALACE PMS,SE9 5DQ,U39263,ELTHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4501135,0.0539456
G83016,G83016,ROYAL ARSENAL MEDICAL CENTRE,SE18 6TE,U11690,RIVERVIEW HEALTH PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4924668,0.0734763
G83018,G83018,LAKESIDE MEDICAL,SE2 9LH,U67110,NORTH BEXLEY PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4965199,0.12245
G83019,G83019,PLUMSTEAD H/C PMS,SE18 1BB,U93499,UNITY (GREENWICH) PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.48595,0.092
G83021,G83021,VANBRUGH GROUP PRACTICE,SE10 9GB,U00254,BLACKHEATH AND CHARLTON PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4857874,0.0085557
G83024,G83024,INGLETON AVENUE SURGERY,DA16 2JZ,U,Unallocated,72Q,QKK,NHS South East London Integrated Care Board,Unknown,51.4540099,0.10409
G83025,G83025,WELLING MEDICAL PRACTICE,DA16 2AT,U88820,CLOCKTOWER PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.46084,0.10797
G83026,G83026,TRIVENI PMS,SE18 5TE,U24992,HERITAGE PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4903553,0.0587102
G83027,G83027,EVEREST HEALTH PARTNERSHIP,SE9 6ER,U39263,ELTHAM PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4546799,0.0494724
G83028,G83028,BEXLEY GROUP PRACTICE,DA16 3HQ,U88820,CLOCKTOWER PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4658299,0.10966
G83029,G83029,PLAS MEDDYG SURGERY,DA5 1HU,U07140,APL BEXLEY PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.44285,0.14437
G83030,G83030,ALL SAINTS MEDICAL CENTRE PMS,SE18 3PS,U93499,UNITY (GREENWICH) PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.47913,0.06623
G83031,G83031,ABBEY WOOD SURGERY,SE2 9AT,U93499,UNITY (GREENWICH) PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4972105,0.1173417
G83033,G83033,DR DAVIES & PARTNER,DA7 5HL,U88820,CLOCKTOWER PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.47228,0.13952
G83039,G83039,ST MARKS PMS,SE18 3EP,U11690,RIVERVIEW HEALTH PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.48111,0.07257
G83044,G83044,FAIRFIELD PMS,SE7 8TX,U00254,BLACKHEATH AND CHARLTON PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.48391,0.03895
G83046,G83046,BURSTED WOOD SURGERY,DA7 6HZ,U07140,APL BEXLEY PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.4655522,0.1520325
G83049,G83049,LYNDHURST ROAD MEDICAL CENTRE,DA7 6DL,U07140,APL BEXLEY PCN,72Q,QKK,NHS South East London Integrated Care Board,EMIS,51.46125,0.15877
