PUBLICATION,EXTRACT_DATE,PRACTICE_CODE,PRACTICE_NAME,PRACTICE_POSTCODE,PCN_CODE,PCN_NAME,ONS_SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_NAME,ONS_ICB_CODE,ICB_CODE,ICB_NAME,ONS_COMM_REGION_CODE,COMM_REGION_CODE,COMM_REGION_NAME,SUPPLIER_NAME
GP_PRAC_PAT_LIST,01Mar2026,G83001,MANOR BROOK PMS,SE3 0EN,U00254,BLACKHEATH AND CHARLTON PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83002,THE WESTWOOD SURGERY,DA16 2HE,U88820,CLOCKTOWER PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83004,BARNARD MEDICAL GROUP,DA14 4TA,U50197,FROGNAL PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83006,THE ALBION SURGERY,DA6 7LP,U07140,APL BEXLEY PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83009,BELLEGROVE SURGERY,DA16 3RE,U88820,CLOCKTOWER PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83010,NORTHUMBERLAND HEATH MED.CTR.,DA8 3DB,U67110,NORTH BEXLEY PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83012,GALLIONS REACH HEALTH CENTRE,SE28 8BE,U11690,RIVERVIEW HEALTH PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83013,BLACKHEATH STANDARD PMS,SE3 7HB,U00254,BLACKHEATH AND CHARLTON PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83015,ELTHAM PALACE PMS,SE9 5DQ,U39263,ELTHAM PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83016,ROYAL ARSENAL MEDICAL CENTRE,SE18 6TE,U11690,RIVERVIEW HEALTH PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83018,LAKESIDE MEDICAL,SE2 9LH,U67110,NORTH BEXLEY PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83019,PLUMSTEAD H/C PMS,SE18 1BB,U93499,UNITY (GREENWICH) PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83021,VANBRUGH GROUP PRACTICE,SE10 9GB,U00254,BLACKHEATH AND CHARLTON PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83024,INGLETON AVENUE SURGERY,DA16 2JZ,U,Unallocated,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,Unknown
GP_PRAC_PAT_LIST,01Mar2026,G83025,WELLING MEDICAL PRACTICE,DA16 2AT,U88820,CLOCKTOWER PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83026,TRIVENI PMS,SE18 5TE,U24992,HERITAGE PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83027,EVEREST HEALTH PARTNERSHIP,SE9 6ER,U39263,ELTHAM PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83028,BEXLEY GROUP PRACTICE,DA16 3HQ,U88820,CLOCKTOWER PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83029,PLAS MEDDYG SURGERY,DA5 1HU,U07140,APL BEXLEY PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83030,ALL SAINTS MEDICAL CENTRE PMS,SE18 3PS,U93499,UNITY (GREENWICH) PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83031,ABBEY WOOD SURGERY,SE2 9AT,U93499,UNITY (GREENWICH) PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83033,DR DAVIES & PARTNER,DA7 5HL,U88820,CLOCKTOWER PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83039,ST MARKS PMS,SE18 3EP,U11690,RIVERVIEW HEALTH PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83044,FAIRFIELD PMS,SE7 8TX,U00254,BLACKHEATH AND CHARLTON PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83046,BURSTED WOOD SURGERY,DA7 6HZ,U07140,APL BEXLEY PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
GP_PRAC_PAT_LIST,01Mar2026,G83049,LYNDHURST ROAD MEDICAL CENTRE,DA7 6DL,U07140,APL BEXLEY PCN,E38000244,72Q,NHS South East London ICB - 72Q,E54000030,QKK,NHS South East London Integrated Care Board,E40000003,Y56,London,EMIS
