PRACTICE_NAME,PRACTICE_POSTCODE,latitude,longitude,MSOA21CD,DEMENTIA_REGISTER_0_64,DEMENTIA_REGISTER_65_PLUS,PAT_LIST_0_64,PAT_LIST_65_PLUS,PCN_ODS_CODE,PCN_NAME,SUB_ICB_ODS_CODE
MANOR BROOK PMS,SE3 0EN,51.469221,0.025088,E02000333,1.0,61.0,10122.0,2035.0,U00254,BLACKHEATH AND CHARLTON PCN,72Q
THE WESTWOOD SURGERY,DA16 2HE,51.463176,0.097323,E02000080,3.0,170.0,7970.0,1686.0,U88820,CLOCKTOWER PCN,72Q
BARNARD MEDICAL GROUP,DA14 4TA,51.42792,0.105576,E02000090,2.0,97.0,10065.0,3299.0,U50197,FROGNAL PCN,72Q
THE ALBION SURGERY,DA6 7LP,51.453977,0.147423,E02000079,3.0,123.0,12880.0,3160.0,U07140,APL BEXLEY PCN,72Q
BELLEGROVE SURGERY,DA16 3RE,51.464561,0.095817,E02006785,0.0,67.0,9334.0,2056.0,U88820,CLOCKTOWER PCN,72Q
NORTHUMBERLAND HEATH MED.CTR.,DA8 3DB,51.476927,0.166028,E02000069,1.0,144.0,12082.0,2418.0,U67110,NORTH BEXLEY PCN,72Q
GALLIONS REACH HEALTH CENTRE,SE28 8BE,51.505665,0.109491,E02000314,2.0,60.0,14080.0,1676.0,U11690,RIVERVIEW HEALTH PCN,72Q
BLACKHEATH STANDARD PMS,SE3 7HB,51.478134,0.019823,E02000328,0.0,32.0,6906.0,1099.0,U00254,BLACKHEATH AND CHARLTON PCN,72Q
ELTHAM PALACE PMS,SE9 5DQ,51.449946,0.05374,E02000340,2.0,30.0,6431.0,1059.0,U39263,ELTHAM PCN,72Q
ROYAL ARSENAL MEDICAL CENTRE,SE18 6TE,51.493492,0.073503,E02006991,3.0,35.0,10627.0,1000.0,U11690,RIVERVIEW HEALTH PCN,72Q
LAKESIDE MEDICAL,SE2 9LH,51.496519,0.122482,E02000066,3.0,110.0,17224.0,1933.0,U67110,NORTH BEXLEY PCN,72Q
PLUMSTEAD H/C PMS,SE18 1BB,51.485951,0.09203,E02000318,3.0,80.0,12865.0,2530.0,U93499,UNITY (GREENWICH) PCN,72Q
VANBRUGH GROUP PRACTICE,SE10 9GB,51.48607,0.008579,E02006930,1.0,30.0,16317.0,1642.0,U00254,BLACKHEATH AND CHARLTON PCN,72Q
INGLETON AVENUE SURGERY,DA16 2JZ,51.454007,0.104114,E02000085,0.0,18.0,3973.0,913.0,U,Unallocated,72Q
WELLING MEDICAL PRACTICE,DA16 2AT,51.460844,0.107999,E02000080,1.0,87.0,8727.0,2425.0,U88820,CLOCKTOWER PCN,72Q
TRIVENI PMS,SE18 5TE,51.490322,0.058464,E02006994,0.0,16.0,7481.0,671.0,U24992,HERITAGE PCN,72Q
EVEREST HEALTH PARTNERSHIP,SE9 6ER,51.454715,0.049463,E02000337,1.0,66.0,18214.0,2699.0,U39263,ELTHAM PCN,72Q
BEXLEY GROUP PRACTICE,DA16 3HQ,51.465832,0.109683,E02000077,1.0,58.0,12722.0,2018.0,U88820,CLOCKTOWER PCN,72Q
PLAS MEDDYG SURGERY,DA5 1HU,51.442846,0.144397,E02000087,3.0,61.0,5760.0,1593.0,U07140,APL BEXLEY PCN,72Q
ALL SAINTS MEDICAL CENTRE PMS,SE18 3PS,51.479133,0.066256,E02000327,1.0,18.0,5871.0,723.0,U93499,UNITY (GREENWICH) PCN,72Q
ABBEY WOOD SURGERY,SE2 9AT,51.497094,0.11653,E02000315,2.0,25.0,6030.0,1021.0,U93499,UNITY (GREENWICH) PCN,72Q
DR DAVIES & PARTNER,DA7 5HL,51.472278,0.139543,E02000075,2.0,41.0,4174.0,1322.0,U88820,CLOCKTOWER PCN,72Q
ST MARKS PMS,SE18 3EP,51.481107,0.072596,E02000323,3.0,46.0,9375.0,1106.0,U11690,RIVERVIEW HEALTH PCN,72Q
FAIRFIELD PMS,SE7 8TX,51.483909,0.038975,E02000324,0.0,30.0,11528.0,1395.0,U00254,BLACKHEATH AND CHARLTON PCN,72Q
BURSTED WOOD SURGERY,DA7 6HZ,51.465722,0.152366,E02000075,0.0,36.0,5208.0,1185.0,U07140,APL BEXLEY PCN,72Q
LYNDHURST ROAD MEDICAL CENTRE,DA7 6DL,51.461251,0.158792,E02000081,5.0,180.0,10197.0,2553.0,U07140,APL BEXLEY PCN,72Q
BELVEDERE MEDICAL CENTRE,DA17 5LQ,51.482567,0.144404,E02000067,3.0,90.0,15326.0,2497.0,U67110,NORTH BEXLEY PCN,72Q
BEXLEY MEDICAL GROUP,DA7 5RB,51.475061,0.127995,E02000073,3.0,139.0,18143.0,3196.0,U67110,NORTH BEXLEY PCN,72Q
WOODLANDS SURGERY,DA15 8DF,51.439755,0.088939,E02000089,2.0,85.0,9124.0,2379.0,U50197,FROGNAL PCN,72Q
PRIMECARE PMS (SOUTH STREET),SE10 8NT,51.476194,-0.012448,E02006931,0.0,18.0,11117.0,944.0,U39263,ELTHAM PCN,72Q
GLYNDON PMS,SE18 7LU,51.487385,0.079622,E02000321,1.0,18.0,6524.0,822.0,U93499,UNITY (GREENWICH) PCN,72Q
SLADE GREEN MEDICAL CTR.,DA8 2HS,51.470505,0.189813,E02000072,6.0,24.0,10646.0,946.0,U67110,NORTH BEXLEY PCN,72Q
BURNEY STREET PMS,SE10 8EX,51.479034,-0.009142,E02006931,1.0,36.0,13843.0,1250.0,U46593,GREENWICH WEST PCN,72Q
SIDCUP MEDICAL CENTRE,DA14 6BU,51.42356,0.105965,E02000091,5.0,513.0,24619.0,6050.0,U50197,FROGNAL PCN,72Q
VALENTINE HEALTH PARTNERSHIP,SE18 6PZ,51.49221,0.061546,E02006994,8.0,61.0,29435.0,2344.0,U94126,VALENTINE HEALTH PCN,72Q
NEW ELTHAM AND BLACKFEN MEDICAL CENTRE,SE9 3PT,51.434495,0.074225,E02000344,0.0,32.0,9402.0,1413.0,U39263,ELTHAM PCN,72Q
RIVERSIDE SURGERY,DA8 1RQ,51.479649,0.180746,E02000068,3.0,42.0,11020.0,1421.0,U67110,NORTH BEXLEY PCN,72Q
ABBEYSLADE PMS (DR CHAND),SE2 0ER,51.487797,0.10747,E02000320,2.0,15.0,4396.0,501.0,U24992,HERITAGE PCN,72Q
CONWAY PMS,SE18 1AH,51.487238,0.086428,E02000318,0.0,8.0,4745.0,504.0,U11690,RIVERVIEW HEALTH PCN,72Q
WAVERLEY PMS,SE18 7QU,51.482737,0.083141,E02000319,0.0,12.0,3812.0,712.0,U24992,HERITAGE PCN,72Q
PLUMBRIDGE MEDICAL CENTRE,SE10 8PA,51.473207,-0.01396,E02006931,1.0,10.0,3249.0,329.0,U46593,GREENWICH WEST PCN,72Q
