PRACTICE_CODE_DEM,PRACTICE_NAME,PCN_ODS_CODE,PCN_NAME,SUB_ICB_ODS_CODE,SUB_ICB_ONS_CODE,ASS_Declined_GP_Mem_Ass,ASS_Declined_GP_Mem_Clinic,ASS_Received_GP,ASS_Received_GP_Mem_Ass,ASS_Received_GP_Mem_Clinic,DEMENTIA_REGISTER_0_64,DEMENTIA_REGISTER_65_PLUS,DIAG_Declined_Care_Plan,DIAG_Received_Care_Plan,DIAG_Received_Med_Rev,PAT_LIST_0_64,PAT_LIST_65_PLUS,PRACTICE_CODE_GP,PRACTICE_POSTCODE,PCN_CODE,ICB_CODE,ICB_NAME,SUPPLIER_NAME
G83001,MANOR BROOK PMS,U00254,BLACKHEATH AND CHARLTON PCN,72Q,E38000244,1.0,0.0,18.0,3.0,8.0,1.0,61.0,0.0,47.0,39.0,10122.0,2035.0,G83001,SE3 0EN,U00254,QKK,NHS South East London Integrated Care Board,EMIS
G83002,THE WESTWOOD SURGERY,U88820,CLOCKTOWER PCN,72Q,E38000244,0.0,2.0,79.0,2.0,9.0,3.0,170.0,0.0,162.0,127.0,7970.0,1686.0,G83002,DA16 2HE,U88820,QKK,NHS South East London Integrated Care Board,EMIS
G83004,BARNARD MEDICAL GROUP,U50197,FROGNAL PCN,72Q,E38000244,0.0,0.0,20.0,0.0,10.0,2.0,97.0,0.0,11.0,8.0,10065.0,3299.0,G83004,DA14 4TA,U50197,QKK,NHS South East London Integrated Care Board,EMIS
G83006,THE ALBION SURGERY,U07140,APL BEXLEY PCN,72Q,E38000244,0.0,0.0,18.0,0.0,8.0,3.0,123.0,1.0,93.0,22.0,12880.0,3160.0,G83006,DA6 7LP,U07140,QKK,NHS South East London Integrated Care Board,EMIS
G83009,BELLEGROVE SURGERY,U88820,CLOCKTOWER PCN,72Q,E38000244,0.0,0.0,36.0,0.0,8.0,0.0,67.0,1.0,44.0,10.0,9334.0,2056.0,G83009,DA16 3RE,U88820,QKK,NHS South East London Integrated Care Board,EMIS
G83010,NORTHUMBERLAND HEATH MED.CTR.,U67110,NORTH BEXLEY PCN,72Q,E38000244,2.0,0.0,34.0,2.0,18.0,1.0,144.0,1.0,110.0,95.0,12082.0,2418.0,G83010,DA8 3DB,U67110,QKK,NHS South East London Integrated Care Board,EMIS
G83012,GALLIONS REACH HEALTH CENTRE,U11690,RIVERVIEW HEALTH PCN,72Q,E38000244,0.0,0.0,15.0,0.0,10.0,2.0,60.0,0.0,18.0,15.0,14080.0,1676.0,G83012,SE28 8BE,U11690,QKK,NHS South East London Integrated Care Board,EMIS
G83013,BLACKHEATH STANDARD PMS,U00254,BLACKHEATH AND CHARLTON PCN,72Q,E38000244,0.0,0.0,10.0,0.0,0.0,0.0,32.0,0.0,26.0,24.0,6906.0,1099.0,G83013,SE3 7HB,U00254,QKK,NHS South East London Integrated Care Board,EMIS
G83015,ELTHAM PALACE PMS,U39263,ELTHAM PCN,72Q,E38000244,0.0,0.0,4.0,0.0,0.0,2.0,30.0,0.0,25.0,11.0,6431.0,1059.0,G83015,SE9 5DQ,U39263,QKK,NHS South East London Integrated Care Board,EMIS
G83016,ROYAL ARSENAL MEDICAL CENTRE,U11690,RIVERVIEW HEALTH PCN,72Q,E38000244,0.0,0.0,3.0,0.0,1.0,3.0,35.0,0.0,30.0,25.0,10627.0,1000.0,G83016,SE18 6TE,U11690,QKK,NHS South East London Integrated Care Board,EMIS
G83018,LAKESIDE MEDICAL,U67110,NORTH BEXLEY PCN,72Q,E38000244,0.0,0.0,26.0,2.0,9.0,3.0,110.0,0.0,77.0,64.0,17224.0,1933.0,G83018,SE2 9LH,U67110,QKK,NHS South East London Integrated Care Board,EMIS
G83019,PLUMSTEAD H/C PMS,U93499,UNITY (GREENWICH) PCN,72Q,E38000244,0.0,0.0,64.0,0.0,21.0,3.0,80.0,0.0,26.0,7.0,12865.0,2530.0,G83019,SE18 1BB,U93499,QKK,NHS South East London Integrated Care Board,EMIS
G83021,VANBRUGH GROUP PRACTICE,U00254,BLACKHEATH AND CHARLTON PCN,72Q,E38000244,0.0,0.0,16.0,0.0,2.0,1.0,30.0,0.0,31.0,25.0,16317.0,1642.0,G83021,SE10 9GB,U00254,QKK,NHS South East London Integrated Care Board,EMIS
G83024,INGLETON AVENUE SURGERY,U,Unallocated,72Q,E38000244,0.0,0.0,5.0,0.0,0.0,0.0,18.0,0.0,9.0,5.0,3973.0,913.0,G83024,DA16 2JZ,U,QKK,NHS South East London Integrated Care Board,Unknown
G83025,WELLING MEDICAL PRACTICE,U88820,CLOCKTOWER PCN,72Q,E38000244,0.0,0.0,22.0,0.0,17.0,1.0,87.0,0.0,78.0,39.0,8727.0,2425.0,G83025,DA16 2AT,U88820,QKK,NHS South East London Integrated Care Board,EMIS
G83026,TRIVENI PMS,U24992,HERITAGE PCN,72Q,E38000244,0.0,0.0,5.0,1.0,2.0,0.0,16.0,0.0,13.0,12.0,7481.0,671.0,G83026,SE18 5TE,U24992,QKK,NHS South East London Integrated Care Board,EMIS
G83027,EVEREST HEALTH PARTNERSHIP,U39263,ELTHAM PCN,72Q,E38000244,0.0,0.0,34.0,0.0,14.0,1.0,66.0,0.0,63.0,39.0,18214.0,2699.0,G83027,SE9 6ER,U39263,QKK,NHS South East London Integrated Care Board,EMIS
G83028,BEXLEY GROUP PRACTICE,U88820,CLOCKTOWER PCN,72Q,E38000244,0.0,0.0,18.0,2.0,5.0,1.0,58.0,0.0,40.0,15.0,12722.0,2018.0,G83028,DA16 3HQ,U88820,QKK,NHS South East London Integrated Care Board,EMIS
G83029,PLAS MEDDYG SURGERY,U07140,APL BEXLEY PCN,72Q,E38000244,0.0,0.0,15.0,3.0,2.0,3.0,61.0,0.0,45.0,5.0,5760.0,1593.0,G83029,DA5 1HU,U07140,QKK,NHS South East London Integrated Care Board,EMIS
G83030,ALL SAINTS MEDICAL CENTRE PMS,U93499,UNITY (GREENWICH) PCN,72Q,E38000244,0.0,0.0,15.0,0.0,0.0,1.0,18.0,0.0,14.0,10.0,5871.0,723.0,G83030,SE18 3PS,U93499,QKK,NHS South East London Integrated Care Board,EMIS
G83031,ABBEY WOOD SURGERY,U93499,UNITY (GREENWICH) PCN,72Q,E38000244,0.0,0.0,2.0,0.0,0.0,2.0,25.0,0.0,20.0,5.0,6030.0,1021.0,G83031,SE2 9AT,U93499,QKK,NHS South East London Integrated Care Board,EMIS
G83033,DR DAVIES & PARTNER,U88820,CLOCKTOWER PCN,72Q,E38000244,1.0,0.0,169.0,9.0,6.0,2.0,41.0,0.0,28.0,19.0,4174.0,1322.0,G83033,DA7 5HL,U88820,QKK,NHS South East London Integrated Care Board,EMIS
G83039,ST MARKS PMS,U11690,RIVERVIEW HEALTH PCN,72Q,E38000244,0.0,0.0,1.0,0.0,1.0,3.0,46.0,0.0,40.0,29.0,9375.0,1106.0,G83039,SE18 3EP,U11690,QKK,NHS South East London Integrated Care Board,EMIS
G83044,FAIRFIELD PMS,U00254,BLACKHEATH AND CHARLTON PCN,72Q,E38000244,0.0,0.0,29.0,0.0,14.0,0.0,30.0,1.0,21.0,11.0,11528.0,1395.0,G83044,SE7 8TX,U00254,QKK,NHS South East London Integrated Care Board,EMIS
G83046,BURSTED WOOD SURGERY,U07140,APL BEXLEY PCN,72Q,E38000244,0.0,0.0,20.0,0.0,4.0,0.0,36.0,0.0,29.0,11.0,5208.0,1185.0,G83046,DA7 6HZ,U07140,QKK,NHS South East London Integrated Care Board,EMIS
G83049,LYNDHURST ROAD MEDICAL CENTRE,U07140,APL BEXLEY PCN,72Q,E38000244,0.0,0.0,45.0,0.0,19.0,5.0,180.0,1.0,149.0,100.0,10197.0,2553.0,G83049,DA7 6DL,U07140,QKK,NHS South East London Integrated Care Board,EMIS
G83052,BELVEDERE MEDICAL CENTRE,U67110,NORTH BEXLEY PCN,72Q,E38000244,0.0,0.0,19.0,0.0,9.0,3.0,90.0,1.0,60.0,18.0,15326.0,2497.0,G83052,DA17 5LQ,U67110,QKK,NHS South East London Integrated Care Board,EMIS
G83053,BEXLEY MEDICAL GROUP,U67110,NORTH BEXLEY PCN,72Q,E38000244,0.0,0.0,71.0,0.0,27.0,3.0,139.0,4.0,131.0,52.0,18143.0,3196.0,G83053,DA7 5RB,U67110,QKK,NHS South East London Integrated Care Board,EMIS
G83057,WOODLANDS SURGERY,U50197,FROGNAL PCN,72Q,E38000244,0.0,0.0,29.0,0.0,17.0,2.0,85.0,2.0,57.0,15.0,9124.0,2379.0,G83057,DA15 8DF,U50197,QKK,NHS South East London Integrated Care Board,EMIS
G83058,PRIMECARE PMS (SOUTH STREET),U39263,ELTHAM PCN,72Q,E38000244,0.0,0.0,3.0,0.0,2.0,0.0,18.0,0.0,15.0,9.0,11117.0,944.0,G83058,SE10 8NT,U39263,QKK,NHS South East London Integrated Care Board,EMIS
G83060,GLYNDON PMS,U93499,UNITY (GREENWICH) PCN,72Q,E38000244,0.0,0.0,7.0,0.0,2.0,1.0,18.0,1.0,18.0,13.0,6524.0,822.0,G83060,SE18 7LU,U93499,QKK,NHS South East London Integrated Care Board,EMIS
